asin,rating,date,verified,helpfulVotes,brand,product,averageRating,totalReviews,mergedReviewText,verification_status,sentimentLabel
B07NZVM3RN,5,24-Sep-19,TRUE,0,Samsung,"Samsung Galaxy S10e 128GB+6GB RAM SM-G970 Dual Sim 5.8"" LTE Factory Unlocked Smartphone (International Model) (Prism Black)",4.5,213,Very good It's jus what I expected it to be,Verified,Positive
B072KPG9PN,1,17-May-18,TRUE,4,Samsung,"Samsung Galaxy J3 Prime J327A 16GB 4G LTE 7.0 Nougat 5"" GSM Unlocked - Black",3.7,183,One Star The phone I received seemed to be a used phone highly unacceptable,Verified,Negative
B07VD3JH2C,5,4-Dec-19,TRUE,0,Xiaomi,"Xiaomi Mi A3 64GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",4.5,252,Mejor calidad precio que hay Excelente terminal solo porfa agregar el adaptador para cargar para nosotras en centro América por lo demás excelente,Verified,Neutral
B07WSJYDXX,3,21-Apr-19,TRUE,0,Motorola,Motorola G6 – 32 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Deep Indigo - (U.S. Warranty) - PAAE0011US,3.9,836,It doesn't have NFC reader It is good and cheap. But it appeared that it doesn't have NFC reader. For some reason network was extremely unstable until I reset network settings.,Verified,Neutral
B01DZ2CS4U,3,29-Oct-17,TRUE,0,Samsung,Samsung Galaxy S7 32GB G930V Unlocked - Black,3.2,250,I expect to use it with any service company other ... I expect to use it with any service company other than Verizon but unfortunately not working .so I shift my plan to Verizon. This is the only problem.,Verified,Neutral
B00JEHJMG8,5,15-Aug-15,TRUE,0,Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),3.3,135,"Great phone. Like New! I bought this as a gift for my daughter and she loves it. The phone works fine and was able to be hooked up with her carrier, Sprint.",Verified,Positive
B01K5R3GXK,5,12-Jan-18,TRUE,0,Motorola,Motorola DROID Turbo XT1254 32GB Verizon Black Ballistic Nylon (Renewed),3.2,77,Five Stars Works good so far.,Verified,Positive
B00836Y6B2,2,19-Jan-14,TRUE,0,Nokia,Nokia Lumia 900 Black Factory Unlocked,3.2,929,Don't use Tmoblie with this At&t phone The phone had great features but I could not get picture messages or group messages nor could I send them. I have had the phone for a few months and now my battery does not last within the day even when I am not using it. I would not buy this phone,Verified,Negative
B0096QYH80,4,25-Sep-14,TRUE,1,Motorola,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",3,488,"All in all seller was great and deserves 5 stars but phone itself would be ... we bought this phone as a replacement to a dead iPhone 5 with intention to use it for 2 months untill the next contract upgrade. Product arrived on time and it was exactly as described. It came in Veriyon box with a travel charger, instruction manual and an online service voucher. We did have problems with finding a matching sim ( micro sim) card in our local stores so we ended up waiting for over a week to get one from verison. The phone mostly works very well. It did not want to charge a few times and once we couldn't shut down the alarmclock off, but those are issues I would bring to the manufacturer. All in all seller was great and deserves 5 stars but phone itself would be somwhere beetween 3 and 4 stars.",Verified,Positive
B00O15MWOM,5,13-Feb-15,TRUE,0,Nokia,Nokia Lumia 530 White - No Contract (T-Mobile),3.2,378,Five Stars Everything I wanted,Verified,Positive
B00CEKXJ3Y,5,11-Oct-13,TRUE,1,Samsung,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",3.5,561,"Wonderful phone! This is my first venture into the smart phone world and it has been great!! I work in real estate and the large screen is very handy when viewing images and setting appointments. I always laugh when I see other agents squinting at their tiny i-phone screens, I definitely made the right choice.",Verified,Positive
B01FJT7E3M,4,24-Feb-17,TRUE,0,Sony,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",3.6,441,Four Stars The phone is wonderful and all but i did not receive a headset.....,Verified,Positive
B07W14HFQP,4,12-Nov-18,TRUE,0,Motorola,Motorola Moto G4 Play (4th Generation) 16GB 4G LTE Unlocked ONLY GSM 5 Inches International Version No Warranty (White),3.6,133,"Value for money The phone is pretty hood for general use. It is fast in terms of everyday ise. Photo quality is ok, it is not bad. Touch and feel is good. Robust build. At the price point for everyday use the phone is amazing",Verified,Positive
B076XLLCQC,5,24-May-19,TRUE,0,Samsung,Samsung Galaxy Note 8 N950 Factory Unlocked Phone 64GB Midnight Black (Renewed),4,891,"This stuff is fantastic I think this product is very good and useful, I like it a lot",Verified,Positive
B072ZWCKP5,5,10-Nov-18,FALSE,1,Motorola,Motorola XT1775 Moto E Plus (4th Gen.) 32GB Unlocked Fine Gold Smartphone,4.2,336,"Love this phone I am not a power user so take this review with a grain of salt. I hated it at first as it was hard for me to cope with the change from an Iphone but after a month was in love with it. For me the battery will last about 4-5 days though it is mostly on stand by. Still, my Iphone on standby would drain in less than a day. It is feature packed and the processor is plenty fast for me. It is a bit bigger, which Im not a fan of but I expected that because of the battery being almost twice the capacit of the regular E4. I have had mine for over a year and everything still works perfect and have not noticed the battery wearing out yet, knock on wood. You can buy a replacement battery on ebay and ever get the tool for the tiny 5 point star pattern they have locking the battery in. It is a pain but totally doable. It is a bargain if you are a lite user like myself.",Not Verified,Positive
B07NZX5BKH,5,28-Feb-19,TRUE,17,Samsung,"Samsung Galaxy S10+ Plus 128GB+8GB RAM SM-G975F/DS Dual Sim 6.4"" LTE Factory Unlocked Smartphone International Model, No Warranty (Prism Black)",4.3,193,"Real S10+ week early Phone came a week early, no issues I am a happy customer. Got mine 2/27/19",Verified,Positive
B07VZL3L5V,1,19-Nov-19,TRUE,0,Samsung,"Samsung Galaxy A20 US Version Factory Unlocked Cell Phone with 32GB Memory, 6.4"" Screen, [SM-A205UZKAXAA], 12 Month Samsung US Warranty, GSM & CDMA Compatible, Black",4.4,915,Sound picture internet This phone was the worst thing I ever order from Amazon don't get me wrong it's pretty but it don't work it gets too hot on your ear internet doesn't work you barely can hear people when they call you and talk on the phone Cabaret no good maybe I just got a bad the fact the phone but anyone is planning on purchasing this phone think twice it's a waste of your mone...7 I got so mad about the phone because of all these problems and issues it wouldn't even cut off about 4 days I'll just throw the phone in the garbage.,Verified,Negative
